Geneid	GSM1842140	GSM1842141	GSM1842142	GSM1842143	GSM1842144	GSM1842145	GSM1842146	GSM1842147	GSM1842148	GSM1842149	GSM1842150	GSM1842151	GSM1842152	GSM1842153	GSM1842154
ENSMUSG00000025779	179	118	84	240	97	146	123	56	52	74	44	499	34	620	53
ENSMUSG00000100093	0	16	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000091020	39	86	106	61	78	59	36	17	29	0	6	59	8	194	22
ENSMUSG00000101640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042686	160	210	175	259	294	216	201	139	130	184	264	24	204	961	130
ENSMUSG00000100110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025777	0	19	14	6	8	4	16	12	6	28	22	0	18	86	0
ENSMUSG00000099899	0	0	0	0	0	0	0	0	6	0	0	0	0	4	0
ENSMUSG00000100272	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100398	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101589	44	80	87	64	73	57	30	59	28	20	69	38	44	402	33
ENSMUSG00000102048	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067780	34	101	3129	1749	2986	5307	5182	6311	8266	1077	15080	2860	40	40588	4367
ENSMUSG00000100053	2	3	18	16	5	13	3	2	4	0	0	0	0	33	3
ENSMUSG00000085125	2	7	10	5	3	11	13	0	0	0	0	0	0	1	0
ENSMUSG00000025776	189	332	1681	722	403	1705	1186	132	298	60	638	40	0	1147	119
ENSMUSG00000099895	0	0	10	3	3	11	0	0	1	0	0	0	0	0	10
ENSMUSG00000100554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099591	0	2	2	8	2	0	0	0	0	0	0	0	0	4	0
ENSMUSG00000109887	0	4	4	8	2	0	2	0	0	0	0	0	0	5	0
