geneSymbol	CellType	Source
RAX	Anterior pituitary gland cells: Brain	PanglaoDB
NKX2-1	Anterior pituitary gland cells: Brain	PanglaoDB
FGF10	Anterior pituitary gland cells: Brain	PanglaoDB
FSHB	Anterior pituitary gland cells: Brain	PanglaoDB
PCSK1	Anterior pituitary gland cells: Brain	PanglaoDB
GNRHR	Anterior pituitary gland cells: Brain	PanglaoDB
PITX1	Anterior pituitary gland cells: Brain	PanglaoDB
TSHB	Anterior pituitary gland cells: Brain	PanglaoDB
PAX7	Anterior pituitary gland cells: Brain	PanglaoDB
LHB	Anterior pituitary gland cells: Brain	PanglaoDB
S100B	Astrocytes: Brain	PanglaoDB
SLC1A2	Astrocytes: Brain	PanglaoDB
GFAP	Astrocytes: Brain	PanglaoDB
BYSL	Astrocytes: Brain	PanglaoDB
ALDH1L1	Astrocytes: Brain	PanglaoDB
CD40	Astrocytes: Brain	PanglaoDB
SLC1A3	Astrocytes: Brain	PanglaoDB
FGFR3	Astrocytes: Brain	PanglaoDB
GJB6	Astrocytes: Brain	PanglaoDB
AQP4	Astrocytes: Brain	PanglaoDB
HTRA1	Astrocytes: Brain	PanglaoDB
S100A8	Astrocytes: Brain	PanglaoDB
CLDN10	Astrocytes: Brain	PanglaoDB
ITIH3	Astrocytes: Brain	PanglaoDB
NKAIN4	Astrocytes: Brain	PanglaoDB
ACSL6	Astrocytes: Brain	PanglaoDB
ACSBG1	Astrocytes: Brain	PanglaoDB
TRIL	Astrocytes: Brain	PanglaoDB
AGT	Astrocytes: Brain	PanglaoDB
GPR37L1	Astrocytes: Brain	PanglaoDB
SLC4A4	Astrocytes: Brain	PanglaoDB
NTSR2	Astrocytes: Brain	PanglaoDB
SLC6A11	Astrocytes: Brain	PanglaoDB
HSPA2	Astrocytes: Brain	PanglaoDB
SLC16A2	Astrocytes: Brain	PanglaoDB
SYNE1	Astrocytes: Brain	PanglaoDB
DIO2	Astrocytes: Brain	PanglaoDB
SLC7A10	Astrocytes: Brain	PanglaoDB
ENTPD2	Astrocytes: Brain	PanglaoDB
HSPB6	Astrocytes: Brain	PanglaoDB
PLXNB1	Astrocytes: Brain	PanglaoDB
LCAT	Astrocytes: Brain	PanglaoDB
PLA2G7	Astrocytes: Brain	PanglaoDB
CMTM5	Astrocytes: Brain	PanglaoDB
S1PR1	Astrocytes: Brain	PanglaoDB
SLC39A12	Astrocytes: Brain	PanglaoDB
LUZP2	Astrocytes: Brain	PanglaoDB
GSTA4	Astrocytes: Brain	PanglaoDB
SLC25A28	Astrocytes: Brain	PanglaoDB
SLC25A46	Astrocytes: Brain	PanglaoDB
WNT3	Astrocytes: Brain	PanglaoDB
FZD2	Astrocytes: Brain	PanglaoDB
TEAD1	Astrocytes: Brain	PanglaoDB
RLBP1	Astrocytes: Brain	PanglaoDB
ALDOC	Astrocytes: Brain	PanglaoDB
GJA1	Astrocytes: Brain	PanglaoDB
APOE	Astrocytes: Brain	PanglaoDB
LCN2	Astrocytes: Brain	PanglaoDB
SOX9	Astrocytes: Brain	PanglaoDB
VIM	Astrocytes: Brain	PanglaoDB
CCR7	Astrocytes: Brain	PanglaoDB
AANAT	Astrocytes: Brain	PanglaoDB
FABP7	Astrocytes: Brain	PanglaoDB
SOCS3	Astrocytes: Brain	PanglaoDB
SYNM	Astrocytes: Brain	PanglaoDB
HMG20A	Astrocytes: Brain	PanglaoDB
NFATC3	Astrocytes: Brain	PanglaoDB
SRR	Astrocytes: Brain	PanglaoDB
SLC1A6	Astrocytes: Brain	PanglaoDB
ETS1	Astrocytes: Brain	PanglaoDB
SLIT1	Astrocytes: Brain	PanglaoDB
SNPH	Astrocytes: Brain	PanglaoDB
IL23A	Astrocytes: Brain	PanglaoDB
CD2	B cells: Immune system	PanglaoDB
CD5	B cells: Immune system	PanglaoDB
