geneSymbol	CellType	Source
PTGER3	Alpha cell: Pancreas	CellMarker
PGR	Alpha cell: Pancreas	CellMarker
PLCE1	Alpha cell: Pancreas	CellMarker
RFX6	Alpha cell: Pancreas	CellMarker
RGPD4	Alpha cell: Pancreas	CellMarker
SMARCA1	Alpha cell: Pancreas	CellMarker
GCG	Alpha cell: Pancreas	CellMarker
GCG	Alpha cell: Pancreatic islet	CellMarker
NA	Alpha cell: Pancreatic islet	CellMarker
NA	Alpha cell: Pancreatic islet	CellMarker
ADORA2A	Alpha cell: Pancreatic islet	CellMarker
ARRDC4	Alpha cell: Pancreatic islet	CellMarker
ARX	Alpha cell: Pancreatic islet	CellMarker
ASPH	Alpha cell: Pancreatic islet	CellMarker
ASXL3	Alpha cell: Pancreatic islet	CellMarker
ATG7	Alpha cell: Pancreatic islet	CellMarker
ATL2	Alpha cell: Pancreatic islet	CellMarker
BAZ2B	Alpha cell: Pancreatic islet	CellMarker
BSCL2	Alpha cell: Pancreatic islet	CellMarker
C11orf24	Alpha cell: Pancreatic islet	CellMarker
NA	Alpha cell: Pancreatic islet	CellMarker
NA	Alpha cell: Pancreatic islet	CellMarker
C21orf58	Alpha cell: Pancreatic islet	CellMarker
NA	Alpha cell: Pancreatic islet	CellMarker
CAMK2G	Alpha cell: Pancreatic islet	CellMarker
CD36	Alpha cell: Pancreatic islet	CellMarker
CDS2	Alpha cell: Pancreatic islet	CellMarker
CERCAM	Alpha cell: Pancreatic islet	CellMarker
CLU	Alpha cell: Pancreatic islet	CellMarker
NA	Alpha cell: Pancreatic islet	CellMarker
DPP4	Alpha cell: Pancreatic islet	CellMarker
NA	Alpha cell: Pancreatic islet	CellMarker
EGFL7	Alpha cell: Pancreatic islet	CellMarker
ELL2	Alpha cell: Pancreatic islet	CellMarker
EPG5	Alpha cell: Pancreatic islet	CellMarker
EPHX2	Alpha cell: Pancreatic islet	CellMarker
ETFDH	Alpha cell: Pancreatic islet	CellMarker
F10	Alpha cell: Pancreatic islet	CellMarker
FADS2	Alpha cell: Pancreatic islet	CellMarker
FAM110B	Alpha cell: Pancreatic islet	CellMarker
NA	Alpha cell: Pancreatic islet	CellMarker
NA	Alpha cell: Pancreatic islet	CellMarker
FAM84A	Alpha cell: Pancreatic islet	CellMarker
FAP	Alpha cell: Pancreatic islet	CellMarker
FGF12	Alpha cell: Pancreatic islet	CellMarker
FSTL5	Alpha cell: Pancreatic islet	CellMarker
FXYD5	Alpha cell: Pancreatic islet	CellMarker
GADD45G	Alpha cell: Pancreatic islet	CellMarker
GC	Alpha cell: Pancreatic islet	CellMarker
GCG	Alpha cell: Pancreatic islet	CellMarker
GLS	Alpha cell: Pancreatic islet	CellMarker
GPR119	Alpha cell: Pancreatic islet	CellMarker
GRIA3	Alpha cell: Pancreatic islet	CellMarker
HIGD1A	Alpha cell: Pancreatic islet	CellMarker
HMGB2	Alpha cell: Pancreatic islet	CellMarker
HMGB3	Alpha cell: Pancreatic islet	CellMarker
HNRNPA3	Alpha cell: Pancreatic islet	CellMarker
HPS1	Alpha cell: Pancreatic islet	CellMarker
HSD17B14	Alpha cell: Pancreatic islet	CellMarker
HTR1F	Alpha cell: Pancreatic islet	CellMarker
IRX2	Alpha cell: Pancreatic islet	CellMarker
ITPK1	Alpha cell: Pancreatic islet	CellMarker
KCNMA1	Alpha cell: Pancreatic islet	CellMarker
KL	Alpha cell: Pancreatic islet	CellMarker
KLHL41	Alpha cell: Pancreatic islet	CellMarker
KPNA6	Alpha cell: Pancreatic islet	CellMarker
LOXL4	Alpha cell: Pancreatic islet	CellMarker
MBOAT2	Alpha cell: Pancreatic islet	CellMarker
MCOLN3	Alpha cell: Pancreatic islet	CellMarker
MLLT11	Alpha cell: Pancreatic islet	CellMarker
MRC1	Alpha cell: Pancreatic islet	CellMarker
NA	Alpha cell: Pancreatic islet	CellMarker
MYBPHL	Alpha cell: Pancreatic islet	CellMarker
NAA20	Alpha cell: Pancreatic islet	CellMarker
NA	Alpha cell: Pancreatic islet	CellMarker
