Symbol	GSM364903	GSM364904	GSM364905	GSM364906
1700014D04Rik	0	0	0	0
1700014D06Rik	0	0	0	0
1700014N06Rik	0	0	0	0
1700015E13Rik	0	0	0	0
1700015P03Rik	0	0	0	0
1700016A09Rik	-0.8393247	0.615736	-0.7571789	0.809399
1700016B15Rik	-0.83457184	1.58009	-1.4154595	0.878132
1700016C15Rik	2.6987128	-2.04446	2.621095	-1.72307
1700016D06Rik	0	0	0	0
1700016D08Rik	0.23356278	0.738579	0.85129666	0.384191
1700016D18Rik	0.47392	0.61494	1.0694385	-0.55855
1700016F12Rik	0	0	0	0
1700016G22Rik	0	-1.30988	0	0
1700016H13Rik	-1.1674217	0.664614	-0.5203907	0.834456
1700016K19Rik	0.116821766	-0.460657	0.6560128	-0.620538
