KO	Pathway
K11175	mmu00230
K11176	mmu00230
K11177	mmu00230
K11178	mmu00230
K11265	mmu00230
K11751	mmu00230
K11787	mmu00230
K11788	mmu00230
K11808	mmu00230
K12304	mmu00230
K12305	mmu00230
K12318	mmu00230
K12319	mmu00230
K12320	mmu00230
K12321	mmu00230
K12322	mmu00230
K12323	mmu00230
K12324	mmu00230
K13293	mmu00230
K13294	mmu00230
K13296	mmu00230
K13298	mmu00230
K13479	mmu00230
K13480	mmu00230
K13481	mmu00230
K13482	mmu00230
K13483	mmu00230
K13484	mmu00230
K13485	mmu00230
K13713	mmu00230
K13755	mmu00230
K13756	mmu00230
K13757	mmu00230
K13758	mmu00230
K13759	mmu00230
K13760	mmu00230
K13761	mmu00230
K13762	mmu00230
K13763	mmu00230
K13811	mmu00230
K13987	mmu00230
K13988	mmu00230
K14048	mmu00230
K14641	mmu00230
K14642	mmu00230
K14977	mmu00230
K15518	mmu00230
K15519	mmu00230
K15778	mmu00230
K15779	mmu00230
K15780	mmu00230
K16838	mmu00230
K16839	mmu00230
K16840	mmu00230
K16841	mmu00230
K16842	mmu00230
K16855	mmu00230
K16856	mmu00230
K18151	mmu00230
K18283	mmu00230
K18424	mmu00230
K18436	mmu00230
K18437	mmu00230
K18438	mmu00230
K18445	mmu00230
K18447	mmu00230
K18453	mmu00230
K18532	mmu00230
K18533	mmu00230
K18550	mmu00230
K18931	mmu00230
K19021	mmu00230
K19572	mmu00230
K19710	mmu00230
K19836	mmu00230
K19964	mmu00230
K19970	mmu00230
K20881	mmu00230
K21053	mmu00230
K21138	mmu00230
K21636	mmu00230
K22026	mmu00230
