KO	Pathway
K13485	hsa00230
K13713	hsa00230
K13755	hsa00230
K13756	hsa00230
K13757	hsa00230
K13758	hsa00230
K13759	hsa00230
K13760	hsa00230
K13761	hsa00230
K13762	hsa00230
K13763	hsa00230
K13811	hsa00230
K13987	hsa00230
K13988	hsa00230
K14048	hsa00230
K14641	hsa00230
K14642	hsa00230
K14977	hsa00230
K15518	hsa00230
K15519	hsa00230
K15778	hsa00230
K15779	hsa00230
K15780	hsa00230
K16838	hsa00230
K16839	hsa00230
K16840	hsa00230
K16841	hsa00230
K16842	hsa00230
K16855	hsa00230
K16856	hsa00230
K18151	hsa00230
K18283	hsa00230
K18424	hsa00230
K18436	hsa00230
K18437	hsa00230
K18438	hsa00230
K18445	hsa00230
K18447	hsa00230
K18453	hsa00230
K18532	hsa00230
K18533	hsa00230
K18550	hsa00230
K18931	hsa00230
K19021	hsa00230
K19572	hsa00230
K19710	hsa00230
K19836	hsa00230
K19964	hsa00230
K19970	hsa00230
K20881	hsa00230
K21053	hsa00230
K21138	hsa00230
K21636	hsa00230
K22026	hsa00230
